Module	Section	Sample Name	Source
QualiMap	genome_results	1032_3P_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1032_3P_/genome_results.txt
QualiMap	genome_results	1134_5I_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1134_5I_/genome_results.txt
QualiMap	genome_results	1133_2P_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1133_2P_/genome_results.txt
QualiMap	genome_results	1056_4I_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1056_4I_/genome_results.txt
QualiMap	genome_results	1041_3N_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1041_3N_/genome_results.txt
QualiMap	coverage_histogram	1004_3P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_3P_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1149_6C	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1149_6C_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1004_5N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_5N_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1142_2N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1142_2N_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1122_1O	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1122_1O_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1054_3N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1054_3N_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1007_6C	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1007_6C_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1004_2P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_2P_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1046_4N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1046_4N_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1078_3O	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1078_3O_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1007_5P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1007_5P_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1004_3I	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_3I_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1041_3P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1041_3P_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1032_3P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1032_3P_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1134_5I	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1134_5I_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1133_2P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1133_2P_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1056_4I	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1056_4I_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1041_3N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1041_3N_/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	1004_3P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_3P_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1149_6C	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1149_6C_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1004_5N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_5N_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1142_2N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1142_2N_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1122_1O	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1122_1O_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1054_3N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1054_3N_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1007_6C	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1007_6C_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1004_2P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_2P_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1046_4N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1046_4N_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1078_3O	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1078_3O_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1007_5P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1007_5P_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1004_3I	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_3I_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1041_3P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1041_3P_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1032_3P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1032_3P_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1134_5I	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1134_5I_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1133_2P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1133_2P_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1056_4I	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1056_4I_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1041_3N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1041_3N_/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	mapped_gc_distribution	1004_3P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_3P_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1149_6C	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1149_6C_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1004_5N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_5N_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1142_2N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1142_2N_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1122_1O	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1122_1O_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1054_3N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1054_3N_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1007_6C	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1007_6C_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1004_2P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_2P_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1046_4N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1046_4N_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1078_3O	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1078_3O_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1007_5P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1007_5P_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1004_3I	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_3I_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1041_3P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1041_3P_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1032_3P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1032_3P_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1134_5I	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1134_5I_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1133_2P	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1133_2P_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1056_4I	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1056_4I_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1041_3N	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1041_3N_/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
